Source_ID,Sentiment,Sentiment_Score,Reason
GRP-XHS-697b27ff000000002103cb21,neutral,0.0,未命中正负面词典
GRP-XHS-68b41359000000001c00e570,neutral,0.0,未命中正负面词典
GRP-XHS-6974594d000000001a034f55,neutral,0.0,未命中正负面词典
GRP-XHS-69214da4000000001f00aa7a,neutral,0.0,未命中正负面词典
GRP-XHS-69a1a6c0000000001a0290d9,neutral,0.0,未命中正负面词典
GRP-XHS-683ec114000000002300dde0,neutral,0.0,未命中正负面词典
GRP-XHS-69c7b3450000000020039ccc,neutral,0.0,未命中正负面词典
GRP-XHS-68da4ee6000000001101da8b,neutral,0.0,未命中正负面词典
GRP-XHS-69d10431000000001b0025ee,neutral,0.0,未命中正负面词典
GRP-XHS-6964a74c000000002202c56c,neutral,0.0,未命中正负面词典
GRP-XHS-68e8a98f000000000700d9b4,neutral,0.0,未命中正负面词典
GRP-XHS-69b4ec21000000002200ed5b,neutral,0.0,未命中正负面词典
GRP-XHS-69734679000000002202d5e2,neutral,0.0,未命中正负面词典
GRP-XHS-69cdbae90000000021013a1d,neutral,0.0,未命中正负面词典
GRP-XHS-6a0423830000000036033a57,neutral,0.0,未命中正负面词典
GRP-XHS-69169e58000000000703ab3b,positive,1.0,正面词：推荐
GRP-XHS-694be601000000001f00792e,positive,1.0,正面词：喜欢
GRP-XHS-688223c8000000001203365b,neutral,0.0,未命中正负面词典
GRP-XHS-684be38f000000002202869a,neutral,0.0,未命中正负面词典
GRP-XHS-68e99da2000000000700a15f,neutral,0.0,未命中正负面词典
GRP-XHS-69ee2200000000001a035186,neutral,0.0,未命中正负面词典
GRP-XHS-69f1a2c3000000002003bd4e,neutral,0.0,未命中正负面词典
GRP-XHS-6840e849000000000f031564,neutral,0.0,未命中正负面词典
GRP-XHS-6a02f9f4000000003501da73,neutral,0.0,未命中正负面词典
GRP-XHS-6a0c6070000000000803cef0,neutral,0.0,未命中正负面词典
GRP-XHS-698c2408000000000b010188,neutral,0.0,未命中正负面词典
GRP-XHS-68a303ed000000001d02c3c5,neutral,0.0,未命中正负面词典
GRP-XHS-68f236ae00000000050023e3,positive,1.0,正面词：喜欢
GRP-XHS-6a030f4b0000000007029560,neutral,0.0,未命中正负面词典
GRP-XHS-69abcb250000000015030d20,neutral,0.0,未命中正负面词典
GRP-XHS-684788cd0000000023016507,positive,1.0,正面词：喜欢
GRP-XHS-686ba63900000000170307da,neutral,0.0,未命中正负面词典
GRP-XHS-685bc77e00000000170363c7,neutral,0.0,未命中正负面词典
GRP-XHS-68bc2cca000000001d019e1a,neutral,0.0,未命中正负面词典
GRP-XHS-68fb6cfb000000000702108e,neutral,0.0,未命中正负面词典
GRP-XHS-697744de000000002103eb17,neutral,0.0,未命中正负面词典
GRP-XHS-6863e5b5000000001202f410,neutral,0.0,未命中正负面词典
GRP-XHS-69fd4d5b000000002300483c,neutral,0.0,未命中正负面词典
GRP-XHS-68fdcb200000000004004f3d,neutral,0.0,未命中正负面词典
GRP-XHS-69fe30280000000036019935,positive,1.0,正面词：推荐
GRP-XHS-685413a90000000012016c9b,neutral,0.0,未命中正负面词典
GRP-XHS-68ccce0f0000000013007a4b,neutral,0.0,未命中正负面词典
GRP-XHS-69f84380000000003501ef4f,neutral,0.0,未命中正负面词典
GRP-XHS-684bd329000000002100aac3,positive,1.0,"正面词：舒适, 轻"
GRP-XHS-693ff373000000001e011f3e,neutral,0.0,未命中正负面词典
GRP-XHS-69130db200000000030388ad,neutral,0.0,未命中正负面词典
GRP-XHS-6a06f64b0000000008001633,neutral,0.0,未命中正负面词典
GRP-XHS-6a0dc98300000000070133ba,neutral,0.0,未命中正负面词典
