Source_ID,Platform,Cleaned_Text,Pain_Point,Evidence_Keyword,Confidence
GRP-TB-891528282766-0128,taobao,非常好，上身很修身，材质很nice。颜色超级不错，材质透气不闷热适合夏季穿搭。,不透气,闷热,0.78
GRP-BILI-DM-BV15J41197dL-000332,bilibili,好贵,价格高,好贵,0.78
GRP-BILI-DM-BV15J41197dL-000932,bilibili,好贵,价格高,好贵,0.78
GRP-BILI-DM-BV15J41197dL-000937,bilibili,不是穷 是不值 而且对普通人来说本来就贵 你是多有钱,价格高,不值,0.78
GRP-BILI-DM-BV15J41197dL-001461,bilibili,太显胖啦,版型差,显胖,0.78
GRP-BILI-DM-BV15J41197dL-001959,bilibili,穿不出去,不适合通勤,穿不出去,0.84
GRP-BILI-DM-BV15J41197dL-001988,bilibili,不透气,不透气,不透气,0.81
GRP-BILI-DM-BV15J41197dL-002399,bilibili,反光材质很显胖╮(╯▽╰)╭,版型差,显胖,0.78
GRP-BILI-DM-BV15J41197dL-003204,bilibili,我也买了啊 质量好贵点也无所谓吧,价格高,好贵,0.78
GRP-BILI-DM-BV14x4y1t7z1-003557,bilibili,穿雨鞋不闷吗(因为防水所以不透气),不透气,不透气,0.81
GRP-BILI-DM-BV14x4y1t7z1-003646,bilibili,温热潮湿不透气，很适合厌氧菌呀,不透气,不透气,0.81
GRP-BILI-DM-BV14x4y1t7z1-003665,bilibili,不透气 脱鞋会窒息,不透气,不透气,0.81
GRP-BILI-DM-BV14x4y1t7z1-003720,bilibili,是滴，一直不理解一个小小的钥匙扣好贵,价格高,好贵,0.78
GRP-BILI-DM-BV14x4y1t7z1-004368,bilibili,好贵,价格高,好贵,0.78
GRP-BILI-DM-BV14x4y1t7z1-004451,bilibili,！好贵,价格高,好贵,0.78
GRP-BILI-DM-BV17E411Q7v7-004758,bilibili,很帅，就是太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV17E411Q7v7-004901,bilibili,ACG太贵了吧,价格高,太贵,0.78
GRP-BILI-DM-BV17E411Q7v7-005284,bilibili,太贵了，学生党消费不起啊,价格高,太贵,0.78
GRP-BILI-DM-BV17E411Q7v7-005413,bilibili,五百刀？太贵了吧,价格高,太贵,0.78
GRP-BILI-DM-BV17E411Q7v7-005431,bilibili,太太太贵了点啊，一件5k起步，奢侈品也就这价了（虽说真的好好看）,价格高,太贵,0.78
GRP-BILI-DM-BV17E411Q7v7-005455,bilibili,RL裤子夏天真的别碰，一点都不透气 热死,不透气,不透气,0.81
GRP-BILI-DM-BV17E411Q7v7-005665,bilibili,这个穿不出去啊,不适合通勤,穿不出去,0.84
GRP-BILI-DM-BV1D5411c79s-006794,bilibili,在性感面前可爱不值一提~,价格高,不值,0.78
GRP-BILI-DM-BV1D5411c79s-006990,bilibili,穿不出去的,不适合通勤,穿不出去,0.84
GRP-BILI-DM-BV11u4m1c7PL-009778,bilibili,羊绒摩擦特别爱起球，尤其是腋下手腕之类的地方，而且腋下但凡出一点点汗，都会很明显，我感觉羊绒衫最好的保护方法就是不穿.，当然有钱人随便啊。,不耐磨,起球,0.78
GRP-BILI-DM-BV11u4m1c7PL-009852,bilibili,不适合通勤啊 你分分钟坏了,不适合通勤,不适合通勤,0.87
GRP-BILI-DM-BV1EBjMz7EXa-010672,bilibili,太贵,价格高,太贵,0.78
GRP-BILI-DM-BV1UX4y117Em-011518,bilibili,那这个价格非常不值得,价格高,不值,0.78
GRP-BILI-DM-BV1UX4y117Em-011519,bilibili,是的。这种裤腰带的松紧裤腰窄了收紧太别容易勒腰，一活动就下坠，同时因为面料问题和褶皱太多容易闷汗。而且摩擦的难受。,不透气,闷汗,0.78
GRP-BILI-DM-BV1UX4y117Em-011634,bilibili,太贵了，www,价格高,太贵,0.78
GRP-BILI-DM-BV1UX4y117Em-011668,bilibili,四百出头我买了 没有不透气,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-011671,bilibili,没有不透气,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-011690,bilibili,这材料卖这么贵，布料不值,价格高,不值,0.78
GRP-BILI-DM-BV1UX4y117Em-011709,bilibili,价格实在太贵了 5折基本能接受,价格高,太贵,0.78
GRP-BILI-DM-BV1UX4y117Em-011719,bilibili,这个裤子白给都不要 本身就不透气 还带里衬,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-011720,bilibili,绝对不透气 腿像汗蒸,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-011722,bilibili,不透气,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-011731,bilibili,太贵了，,价格高,太贵,0.78
GRP-BILI-DM-BV1UX4y117Em-011789,bilibili,太贵啦,价格高,太贵,0.78
GRP-BILI-DM-BV1UX4y117Em-011793,bilibili,不值,价格高,不值,0.78
GRP-BILI-DM-BV1UX4y117Em-011817,bilibili,Taci 好贵,价格高,好贵,0.78
GRP-BILI-DM-BV1UX4y117Em-011857,bilibili,堆材料，堆设计，堆质感。就怕你觉得买了不值,价格高,不值,0.78
GRP-BILI-DM-BV1UX4y117Em-011929,bilibili,夏天所有衣服不透气，或透气差都是垃圾,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-012039,bilibili,太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1UX4y117Em-012044,bilibili,这么大，这买来可以当衬衫型风衣穿，不透气反而可能是优点,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-012049,bilibili,这个面料不应该不透气吧，不透气还卖个啥。,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-012063,bilibili,帅有个屁用，不实用，不舒服。,不适合通勤,不实用,0.81
GRP-BILI-DM-BV1UX4y117Em-012070,bilibili,就是价格太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1UX4y117Em-012222,bilibili,机能裤，买回来穿破了就算，500不值得,价格高,不值,0.78
GRP-BILI-DM-BV1UX4y117Em-012295,bilibili,肯定不透气啊,不透气,不透气,0.81
GRP-BILI-DM-BV1UX4y117Em-012299,bilibili,不透气,不透气,不透气,0.81
